iso,year,log_gdppc,bottom40_share
KGZ,2015,7.008190429517273,22.9
KGZ,2016,7.028481677609842,23.9
KGZ,2017,7.05374367287057,23.6
KGZ,2018,7.069084086759415,23.4
KGZ,2019,7.091639792303957,22.799999999999997
KGZ,2020,6.996982051067232,22.5
KGZ,2021,7.032231137099607,22.8
KGZ,2022,7.100174125481829,23.8
KGZ,2023,7.168778063161089,23.6
KGZ,2024,7.260934492522644,23.2
KOR,2006,10.050276314587203,20.2
KOR,2008,10.12400925527797,20.0
KOR,2010,10.18953261252483,20.2
KOR,2012,10.237959805487082,20.3
KOR,2014,10.29115092240545,20.6
KOR,2016,10.341916896889888,18.4
KOR,2017,10.372862944802542,18.5
KOR,2018,10.399794957607943,19.1
KOR,2019,10.41919060373782,19.5
KOR,2020,10.410784855878186,19.9
KOR,2021,10.45716976361207,19.8
LAO,1992,6.493199771034531,20.1
LAO,1997,6.708335396976584,20.1
LAO,2002,6.902232297322216,21.0
LAO,2007,7.170954560494024,19.8
LAO,2012,7.481350527080471,19.2
LAO,2018,7.807907989198822,17.8
LAO,2024,7.908783443491152,19.9
LKA,1985,7.117800768224551,20.700000000000003
LKA,1990,7.236043774009545,21.2
LKA,1995,7.427352635756623,19.7
LKA,2002,7.5762127743406955,17.5
LKA,2006,7.794142825368151,17.7
LKA,2009,7.932819158525343,19.4
LKA,2012,8.156163201997577,18.3
LKA,2016,8.346343462186052,17.9
LKA,2019,8.401957832447152,18.5
LTU,1993,8.557652100471223,20.5
LTU,1996,8.55854629325402,20.4
LTU,1998,8.724885578954783,20.5
LTU,1999,8.720949774436969,20.6
LTU,2000,8.761598486059869,20.6
LTU,2001,8.832664315821049,20.4
LTU,2002,8.905728864712287,20.4
LTU,2003,9.014166517130162,18.9
LTU,2004,9.088390340225851,17.7
LTU,2005,9.179145691791812,18.9
LTU,2006,9.266457395918302,19.4
LTU,2007,9.383398700866026,19.2
LTU,2008,9.419346031266365,18.799999999999997
LTU,2009,9.269827443918208,17.5
LTU,2010,9.29505977471369,19.0
LTU,2011,9.378961846276315,19.9
