iso,year,log_gdppc,life_exp
PSS,1983,7.98179707535069,63.5345023789867
PSS,1984,8.011691335480249,63.8161524409801
PSS,1985,7.972554834818324,64.2798024591949
PSS,1986,8.002297870765409,64.2700212799143
PSS,1987,7.962865080253933,64.6139925518575
PSS,1988,7.957008474908438,65.1117846695863
PSS,1989,7.985025388358099,65.4218695734462
PSS,1990,8.006406177698983,65.4079695743484
PSS,1991,7.986903687633465,65.712646615018
PSS,1992,8.019245829351949,65.8184307733139
PSS,1993,8.023651901761024,65.9809205557246
PSS,1994,8.057285953994336,66.2175038703264
PSS,1995,8.087404070612578,66.3962764207464
PSS,1996,8.103768591245695,66.5580295814554
PSS,1997,8.076823428510266,66.6807208082094
PSS,1998,8.075567440432351,66.8765066591632
PSS,1999,8.102015654984372,66.999001761912
PSS,2000,8.073471197618082,66.8914832838297
PSS,2001,8.068897360853851,67.0167243338519
PSS,2002,8.07538567768312,66.7584824574172
PSS,2003,8.082366226814285,66.9599297545214
PSS,2004,8.109636071120073,67.1038169577792
PSS,2005,8.12268600693317,67.2332794133166
PSS,2006,8.135280262605786,67.3577049121232
PSS,2007,8.125754086690307,67.3668379536838
PSS,2008,8.135358496439196,67.5747311016589
PSS,2009,8.120704485470064,67.4527929020498
PSS,2010,8.144382985046237,67.9059171883101
PSS,2011,8.168446802437323,68.0222810195532
PSS,2012,8.165541287059852,67.6660532253593
PSS,2013,8.184423357027024,68.0054625635404
PSS,2014,8.206493965617518,68.0376132124002
PSS,2015,8.232457902558673,68.1166096033138
PSS,2016,8.256343736785718,68.2856508563666
PSS,2017,8.281545040804998,68.519287500513
PSS,2018,8.295739593647872,68.5825887890247
PSS,2019,8.296876753113587,68.6421578303985
PSS,2020,8.178368057790843,68.3568108792759
PSS,2021,8.140337236822136,67.4810209240703
PSS,2022,8.208825423368845,69.1004348993561
PSS,2023,8.266265944850902,69.2745949035856
PSS,2024,8.289997700945653,69.440356940231
PST,1960,9.34733214717189,68.8399200533406
PST,1961,9.377978071053803,69.2688281977515
PST,1962,9.420186961925854,69.2703494749647
PST,1963,9.457533372054206,69.444966986002
PST,1964,9.508283571615252,69.8899746188658
PST,1965,9.551198912332458,69.9655681168664
PST,1966,9.594570360633117,70.1417541718071
PST,1967,9.622094282854043,70.5859707055814
PST,1968,9.669868591971504,70.3989176622243
PST,1969,9.714907565087803,70.5519226992632
PST,1970,9.732300394447668,70.8485134676882
PST,1971,9.755949564358597,71.1394974898806
PST,1972,9.797689135428739,71.3541322725004
PST,1973,9.848693219543355,71.5095030685449
PST,1974,9.850304111804329,71.8692328583235
PST,1975,9.844843136790406,72.155310229648
PST,1976,9.884594771420938,72.4149061630142
PST,1977,9.91397232999062,72.8043725845809
PST,1978,9.948906440995172,72.9422374499268
PST,1979,9.97894147486528,73.2767101491464
PST,1980,9.982335725299793,73.3189938394268
PST,1981,9.994470863294476,73.6518467661203
PST,1982,9.991038720051023,73.9750726994584
PST,1983,10.016154729744262,74.0735190567252
PST,1984,10.058436314048508,74.358352232478
PST,1985,10.089301411757809,74.4975404732636
PST,1986,10.116018986799325,74.7603390194632
PST,1987,10.145083769078859,75.0383219389569
PST,1988,10.184629452708048,75.1354402525022
PST,1989,10.215332044420094,75.3645532807694
PST,1990,10.235295222151976,75.473991731623
PST,1991,10.238345757996512,75.6090759076253
PST,1992,10.2505994384159,75.7166150305185
PST,1993,10.256020518193809,75.7231520791668
PST,1994,10.282419627256205,76.0312406656581
PST,1995,10.30469714042572,76.0734629753437
PST,1996,10.328101341532893,76.4365491203333
PST,1997,10.357068906261789,76.7755552244692
PST,1998,10.379199989959874,76.9698452316562
PST,1999,10.409166835491655,77.092735203919
PST,2000,10.444147084311108,77.3513756471438
PST,2001,10.454258455131214,77.6340698596268
PST,2002,10.464455457487839,77.771842585777
PST,2003,10.479327617071185,77.8873480039422
PST,2004,10.505585000827066,78.3070690267902
PST,2005,10.52819666363726,78.410884260835
PST,2006,10.551856592327159,78.7291498117515
PST,2007,10.571553404218458,78.9805173339684
PST,2008,10.569148695292322,79.1456240590947
PST,2009,10.529507949456693,79.4684041481196
PST,2010,10.553440084250246,79.6785405516336
PST,2011,10.566640070008308,79.9443824717695
PST,2012,10.574896702248862,80.088710974095
PST,2013,10.586123007559557,80.2734408942833
PST,2014,10.60249145241704,80.5389847887351
PST,2015,10.620373451789401,80.4400588000625
PST,2016,10.633662722728662,80.611199448631
PST,2017,10.65435987663967,80.6648214527058
PST,2018,10.673421661998004,80.7434751770259
PST,2019,10.68806732931624,80.9699107710013
PST,2020,10.644953505633294,80.0657027820539
PST,2021,10.701909515357276,79.7932796702764
PST,2022,10.729357859160114,80.1925594478523
PST,2023,10.743724642491605,80.8342678318764
PST,2024,10.755107733447378,81.1124065061669
PYF,1965,10.023553347923194,61.069
PYF,1966,10.081185109864352,61.353
PYF,1967,9.998642846301665,61.645
PYF,1968,10.103376919136398,61.931
PYF,1969,10.041425005096455,62.214
PYF,1970,10.022764010640413,62.495
PYF,1971,10.102181951234162,62.782
PYF,1972,10.021225446773448,63.082
PYF,1973,10.063978746364613,63.401
PYF,1974,10.197739475403516,63.778
PYF,1975,10.116520988526823,64.249
PYF,1976,10.165461724374582,64.761
PYF,1977,10.156089064091717,65.31
PYF,1978,10.219236732437917,65.891
PYF,1979,10.225918115194748,66.612
PYF,1980,10.19892568672009,67.405
PYF,1981,10.19337029456779,68.157
PYF,1982,10.178884034484314,68.922
PYF,1983,10.17262436050019,69.702
PYF,1984,10.168847750421136,70.559
PYF,1985,10.131785284146222,71.203
PYF,1986,10.233304155848655,71.967
PYF,1987,10.220503588026299,72.448
PYF,1988,10.159249422457398,73.088
PYF,1989,10.15805674641852,73.494
PYF,1990,10.13886415593412,73.908
PYF,1991,10.155481928236014,74.295
PYF,1992,10.12260343612212,74.746
PYF,1993,10.092389480546055,75.191
PYF,1994,10.05936728289373,75.65
PYF,1995,10.040135898589464,76.243
PYF,1996,10.018365480731035,76.813
PYF,1997,10.001157708403259,77.38
PYF,1998,10.0020226521654,77.842
PYF,1999,10.004972209537005,78.574
PYF,2000,10.021218522527464,79.0
PYF,2001,10.002273136859044,79.316
PYF,2002,9.995743962206317,79.544
PYF,2003,10.001323719810708,79.71
PYF,2004,9.995152052141265,79.829
PYF,2005,9.98328828323123,79.951
PYF,2006,9.97792688506042,80.1
PYF,2007,9.982692936106213,80.328
PYF,2008,9.975502019853536,80.587
PYF,2009,9.928169057907892,80.867
PYF,2010,9.899129332717418,81.141
PYF,2011,9.864832156909229,81.434
PYF,2012,9.85053194125408,81.695
PYF,2013,9.848509947229038,81.935
PYF,2014,9.848407405591598,82.151
PYF,2015,9.860943215019411,82.339
PYF,2016,9.878993601771729,82.555
PYF,2017,9.917773450585063,82.774
PYF,2018,9.936652499325337,82.985
PYF,2019,9.965986892398924,83.195
PYF,2020,9.853603288377817,82.459
PYF,2021,9.8846223816454,79.571
PYF,2022,9.911480495183904,83.859
PYF,2023,9.936195615206648,84.07
PYF,2024,9.94494861029992,84.192
QAT,1970,11.286143811956949,64.889
QAT,1971,11.260293195033668,65.49
QAT,1972,11.256136854703016,66.07
QAT,1973,11.259009120419854,66.629
QAT,1974,11.225116868832695,67.165
QAT,1975,11.19729684366856,67.679
QAT,1976,11.19804118501437,68.172
QAT,1977,11.047397616973415,68.639
QAT,1978,11.06154325154665,69.083
QAT,1979,11.045090883631492,69.507
QAT,1980,10.970342176849789,69.915
QAT,1981,10.917338948933235,70.313
QAT,1982,10.786656962611568,70.704
QAT,1983,10.711544356214747,71.089
QAT,1984,10.703428158597244,71.465
QAT,1985,10.631380929678087,71.831
QAT,1986,10.639308633178503,72.184
QAT,1987,10.6023342818214,72.52
QAT,1988,10.624414894624131,72.836
QAT,1989,10.650405268997194,73.131
QAT,1990,10.65041554047245,73.405
QAT,1991,10.600851598873648,73.654
QAT,1992,10.67615656571912,73.876
QAT,1993,10.631608957067838,74.071
QAT,1994,10.615381139738789,74.245
QAT,1995,10.60976035956015,74.404
QAT,1996,10.624400932354346,74.558
QAT,1997,10.847055197557347,74.713
QAT,1998,10.900251368566948,74.872
QAT,1999,10.888609508827116,75.048
QAT,2000,10.914146617280334,75.25
QAT,2001,10.902584099513817,75.486
QAT,2002,10.924023067866312,75.766
QAT,2003,10.9145504993317,76.097
QAT,2004,11.052587114225695,76.484
QAT,2005,11.059670769665749,76.909
QAT,2006,11.12780138649477,77.323
QAT,2007,11.076187104326337,77.741
QAT,2008,11.072769457581584,78.262
QAT,2009,11.0656973741754,78.837
QAT,2010,11.215487993583016,79.444
QAT,2011,11.333002984638838,79.994
QAT,2012,11.319847147206335,80.499
QAT,2013,11.256479409583873,80.974
QAT,2014,11.181027658744016,81.395
QAT,2015,11.141648640520387,81.785
QAT,2016,11.116833173121455,82.147
QAT,2017,11.074384823427014,82.458
QAT,2018,11.07303686581504,82.714
QAT,2019,11.057699478687294,82.945
QAT,2020,10.964218035789289,80.409
QAT,2021,11.089630013738178,81.083
QAT,2022,11.071557903474487,81.857
QAT,2023,11.083849296500997,82.368
QAT,2024,11.04124541258751,82.522
ROU,1990,8.521073060477296,69.7412195121951
ROU,1991,8.391437596386579,69.7843902439024
ROU,1992,8.308716209363201,69.7843902439024
ROU,1993,8.325249956645676,69.5634146341464
ROU,1994,8.365269849402903,69.509756097561
ROU,1995,8.427762461104905,69.4560975609756
ROU,1996,8.468976595148511,69.1048780487805
ROU,1997,8.422149832732378,69.0048780487805
ROU,1998,8.403712668228362,69.8073170731708
ROU,1999,8.401508735803482,70.5121951219512
ROU,2000,8.427117759892157,71.1634146341463
ROU,2001,8.491937557090171,71.1609756097561
ROU,2002,8.56570711673555,71.009756097561
ROU,2003,8.596061367991172,71.309756097561
ROU,2004,8.700953793057444,71.5609756097561
ROU,2005,8.752753767127427,71.9121951219512
ROU,2006,8.835905567509409,72.1634146341463
ROU,2007,8.92051918100169,72.5658536585366
